Date,Number of Contacts,Source,Year,Month
01/10/2014,25778,City Ambassador Program,2014,October
01/12/2017,143,Melbourne Greeter Service,2017,December
01/07/2017,25505,Fitzroy Gardens Visitor Centre,2017,July
01/09/2016,128,Inbox email enquiries,2016,September
01/09/2018,55,Inbox email enquiries,2018,September
01/09/2018,141,Melbourne Greeter Service,2018,September
01/10/2016,73418,Melbourne Visitor Centre,2016,October
01/08/2017,0,Cruise Ship Program,2017,August
01/11/2016,11272,Cruise Ship Program,2016,November
01/09/2017,4569,Cooks' Cottage,2017,September
01/02/2017,3767,Melbourne Visitor Shuttle,2017,February
01/03/2015,230,Melbourne Greeter Service,2015,March
01/11/2017,108,Inbox email enquiries,2017,November
01/12/2017,12622,Cruise Ship Program,2017,December
01/03/2016,28054,City Ambassador Program,2016,March
01/09/2018,0,Cruise Ship Program,2018,September
01/10/2015,73496,Melbourne Visitor Centre,2015,October
01/08/2015,63599,Melbourne Visitor Centre,2015,August
01/09/2016,0,Cruise Ship Program,2016,September
01/01/2018,72973,Melbourne Visitor Centre,2018,January
01/11/2014,6436,Cooks' Cottage,2014,November
01/01/2015,273,Melbourne Greeter Service,2015,January
01/08/2017,113,Melbourne Greeter Service,2017,August
01/10/2018,17829,Melbourne Visitor Booth,2018,October
01/08/2014,24222,City Ambassador Program,2014,August
01/06/2017,210,Melbourne Greeter Service,2017,June
01/10/2017,22882,City Ambassador Program,2017,October
01/08/2018,19770,Fitzroy Gardens Visitor Centre,2018,August
01/11/2016,6054,Cooks' Cottage,2016,November
01/02/2018,66142,Melbourne Visitor Centre,2018,February
01/11/2017,140,Melbourne Greeter Service,2017,November
01/10/2015,19116,Fitzroy Gardens Visitor Centre,2015,October
01/10/2017,143,Melbourne Greeter Service,2017,October
01/06/2018,63,Melbourne Greeter Service,2018,June
01/06/2016,23685,Melbourne Visitor Booth,2016,June
01/04/2015,7060,Melbourne Visitor Shuttle,2015,April
01/04/2015,6719,Cooks' Cottage,2015,April
01/03/2018,211,Melbourne Greeter Service,2018,March
01/04/2017,22549,City Ambassador Program,2017,April
01/01/2015,39882,Melbourne Visitor Booth,2015,January
01/12/2014,81900,Melbourne Visitor Centre,2014,December
01/04/2016,23561,City Ambassador Program,2016,April
01/07/2016,0,Cruise Ship Program,2016,July
01/11/2014,300,Melbourne Greeter Service,2014,November
01/05/2018,14503,City Ambassador Program,2018,May
01/12/2015,27859,City Ambassador Program,2015,December
01/07/2015,146,Inbox email Inquiries,2015,July
01/02/2018,17793,Melbourne Visitor Booth,2018,February
01/09/2014,12879,Melbourne Visitor Shuttle,2014,September
01/04/2017,97,Inbox email enquiries,2017,April
01/11/2014,78719,Melbourne Visitor Centre,2014,November
01/08/2016,21418,Fitzroy Gardens Visitor Centre,2016,August
01/09/2017,106,Melbourne Greeter Service,2017,September
01/10/2015,227,Melbourne Greeter Service,2015,October
01/01/2017,92204,Melbourne Visitor Centre,2017,January
01/09/2014,25248,City Ambassador Program,2014,September
01/11/2015,28721,City Ambassador Program,2015,November
01/01/2018,6250,Cooks' Cottage,2018,January
01/06/2018,13233,City Ambassador Program,2018,June
01/10/2015,27528,City Ambassador Program,2015,October
01/08/2015,224,Melbourne Greeter Service,2015,August
01/12/2015,4569,Melbourne Visitor Shuttle,2015,December
01/10/2018,6333,Cooks' Cottage,2018,October
01/02/2017,72952,Melbourne Visitor Centre,2017,February
01/09/2017,0,Cruise Ship Program,2017,September
