Sensor_ID,Year,Month,Hourly_Counts,sensor_description,sensor_name,installation_date,status,note,direction_1,direction_2,latitude,longitude,location
1,2015,April,1158.6486111111112,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2015,August,1072.6424731182797,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2015,December,978.7056451612904,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2015,February,1200.829861111111,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2015,July,1148.9180107526881,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2015,June,1091.1541666666667,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2015,March,1155.840053763441,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2015,May,1082.1841397849462,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2015,November,854.2916666666666,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2015,October,1071.6675639300136,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2015,September,1114.013888888889,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2016,April,1427.2180555555556,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2016,August,1341.024193548387,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2016,December,1678.22311827957,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2016,February,1323.0718390804598,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2016,January,1036.8924731182797,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2016,July,1402.986559139785,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2016,June,1339.723611111111,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2016,March,1331.8387096774193,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2016,May,1303.9354838709678,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2016,November,1444.1666666666667,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2016,October,1335.9246298788694,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2016,September,1370.5166666666667,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2017,April,1385.3916666666667,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2017,August,1265.9690860215053,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2017,December,1527.4717741935483,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2017,February,1316.013392857143,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2017,January,1231.010752688172,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2017,July,1350.9663978494623,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2017,June,1345.1319444444443,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2017,March,1389.4233870967741,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2017,May,1315.7325268817203,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
