Sensor_Name,Time,Day,Hourly_Counts,latitude,longitude
231 Bourke St,5,Monday,25.314285714285713,-37.81333081,144.96675572
231 Bourke St,5,Saturday,31.17142857142857,-37.81333081,144.96675572
231 Bourke St,5,Sunday,33.68571428571428,-37.81333081,144.96675572
231 Bourke St,5,Thursday,26.5,-37.81333081,144.96675572
231 Bourke St,5,Tuesday,27.942857142857143,-37.81333081,144.96675572
231 Bourke St,5,Wednesday,34.91428571428571,-37.81333081,144.96675572
231 Bourke St,6,Friday,72.05882352941177,-37.81333081,144.96675572
231 Bourke St,6,Monday,68.17142857142858,-37.81333081,144.96675572
231 Bourke St,6,Saturday,51.22857142857143,-37.81333081,144.96675572
231 Bourke St,6,Sunday,42.68571428571428,-37.81333081,144.96675572
231 Bourke St,6,Thursday,74.73529411764706,-37.81333081,144.96675572
231 Bourke St,6,Tuesday,82.34285714285714,-37.81333081,144.96675572
231 Bourke St,6,Wednesday,75.62857142857143,-37.81333081,144.96675572
231 Bourke St,7,Friday,142.91176470588235,-37.81333081,144.96675572
231 Bourke St,7,Monday,153.5142857142857,-37.81333081,144.96675572
231 Bourke St,7,Saturday,93.11428571428571,-37.81333081,144.96675572
231 Bourke St,7,Sunday,78.45714285714286,-37.81333081,144.96675572
231 Bourke St,7,Thursday,169.7941176470588,-37.81333081,144.96675572
231 Bourke St,7,Tuesday,174.31428571428572,-37.81333081,144.96675572
231 Bourke St,7,Wednesday,171.37142857142857,-37.81333081,144.96675572
231 Bourke St,8,Friday,247.61764705882354,-37.81333081,144.96675572
231 Bourke St,8,Monday,235.4857142857143,-37.81333081,144.96675572
231 Bourke St,8,Saturday,153.94285714285715,-37.81333081,144.96675572
231 Bourke St,8,Sunday,115.71428571428571,-37.81333081,144.96675572
231 Bourke St,8,Thursday,307.6470588235294,-37.81333081,144.96675572
231 Bourke St,8,Tuesday,290.7142857142857,-37.81333081,144.96675572
231 Bourke St,8,Wednesday,268.9142857142857,-37.81333081,144.96675572
231 Bourke St,9,Friday,327.02941176470586,-37.81333081,144.96675572
231 Bourke St,9,Monday,295.0571428571429,-37.81333081,144.96675572
231 Bourke St,9,Saturday,278.8,-37.81333081,144.96675572
231 Bourke St,9,Sunday,253.02857142857144,-37.81333081,144.96675572
231 Bourke St,9,Thursday,325.94117647058823,-37.81333081,144.96675572
231 Bourke St,9,Tuesday,315.62857142857143,-37.81333081,144.96675572
231 Bourke St,9,Wednesday,324.51428571428573,-37.81333081,144.96675572
231 Bourke St,10,Friday,419.7647058823529,-37.81333081,144.96675572
231 Bourke St,10,Monday,383.54285714285714,-37.81333081,144.96675572
231 Bourke St,10,Saturday,442.9142857142857,-37.81333081,144.96675572
231 Bourke St,10,Sunday,391.25714285714287,-37.81333081,144.96675572
231 Bourke St,10,Thursday,394.7352941176471,-37.81333081,144.96675572
231 Bourke St,10,Tuesday,390.9428571428571,-37.81333081,144.96675572
231 Bourke St,10,Wednesday,389.85714285714283,-37.81333081,144.96675572
231 Bourke St,11,Friday,532.6764705882352,-37.81333081,144.96675572
231 Bourke St,11,Monday,464.8857142857143,-37.81333081,144.96675572
231 Bourke St,11,Saturday,631.8285714285714,-37.81333081,144.96675572
231 Bourke St,11,Sunday,504.62857142857143,-37.81333081,144.96675572
231 Bourke St,11,Thursday,509.2352941176471,-37.81333081,144.96675572
231 Bourke St,11,Tuesday,472.0,-37.81333081,144.96675572
231 Bourke St,11,Wednesday,480.54285714285714,-37.81333081,144.96675572
231 Bourke St,12,Friday,759.4705882352941,-37.81333081,144.96675572
231 Bourke St,12,Monday,687.6571428571428,-37.81333081,144.96675572
231 Bourke St,12,Saturday,846.0571428571428,-37.81333081,144.96675572
231 Bourke St,12,Sunday,576.3142857142857,-37.81333081,144.96675572
231 Bourke St,12,Thursday,781.3235294117648,-37.81333081,144.96675572
