Description,Co-ordinates,lat,lon
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.80443768421831, 144.96343052616893)",-37.80443768421831,144.96343052616893
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.814022713257685, 144.96377589639772)",-37.814022713257685,144.96377589639772
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.83822661704696, 144.9845757117782)",-37.83822661704696,144.9845757117782
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.81027785022815, 144.9610923413044)",-37.81027785022815,144.9610923413044
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.82842091627398, 144.98460191449672)",-37.82842091627398,144.98460191449672
Drinking Fountain - Drinking Fountain - Monument Style Type 2 - Hardy Reserve,"(-37.78528327065247, 144.96619195051946)",-37.78528327065247,144.96619195051946
Drinking Fountain - Leaf Type - With Bottle Refill Tap - Shrine of Remembrance Reserve,"(-37.83081555124981, 144.97427512305256)",-37.83081555124981,144.97427512305256
Drinking Fountain - Leaf Type - Dog Bowl  - Royal Park,"(-37.795118666338084, 144.95091878885694)",-37.795118666338084,144.95091878885694
Drinking fountain - Historic or Heritage Drinking Fountains - JJ Holland Park,"(-37.79745516285821, 144.92349296059965)",-37.79745516285821,144.92349296059965
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.81152641068227, 144.9728037168352)",-37.81152641068227,144.9728037168352
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.80218636204077, 144.97111015985016)",-37.80218636204077,144.97111015985016
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.82051269611414, 144.94396083541395)",-37.82051269611414,144.94396083541395
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Princes Park,"(-37.78493695299493, 144.96233927588727)",-37.78493695299493,144.96233927588727
Drinking Fountain - Leaf Type - With Bottle Refill Tap - Carlton Gardens North,"(-37.80241728553812, 144.97202290316702)",-37.80241728553812,144.97202290316702
Drinking Fountain - Stainless Steel Drinking Fountain - Old Docklands Type,"(-37.819668916851825, 144.9417577515994)",-37.819668916851825,144.9417577515994
Drinking Fountain - Leaf Type - With Bottle Refill Tap - Carlton Gardens North,"(-37.80154324073521, 144.97074694104214)",-37.80154324073521,144.97074694104214
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.80726039782801, 144.95788106825034)",-37.80726039782801,144.95788106825034
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.809316361164214, 144.95453335359068)",-37.809316361164214,144.95453335359068
Drinking Fountain - Treated Timber Drinking Fountain - Sturt Street Reserve,"(-37.829762043290245, 144.9650239066239)",-37.829762043290245,144.9650239066239
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.81515985140142, 144.93712549711364)",-37.81515985140142,144.93712549711364
Drinking Fountain - Stainless Steel Drinking Fountain - Old Docklands Type,"(-37.82114510296565, 144.94298366417019)",-37.82114510296565,144.94298366417019
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.8175239427856, 144.96013037555608)",-37.8175239427856,144.96013037555608
Drinking Fountain - Drinking Fountain - Monument Style Type 2 - Argyle Square,"(-37.80282308235531, 144.96630068198394)",-37.80282308235531,144.96630068198394
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Argyle Square,"(-37.80225790808832, 144.96613628041044)",-37.80225790808832,144.96613628041044
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.81319698844885, 144.97374469190206)",-37.81319698844885,144.97374469190206
Drinking Fountain - Duke & Duchess of York Memorial Drinking Fountain,"(-37.80663190787703, 144.95991334440367)",-37.80663190787703,144.95991334440367
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.81600551227767, 144.9651330881475)",-37.81600551227767,144.9651330881475
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Royal Park,"(-37.78615201108828, 144.95349293828525)",-37.78615201108828,144.95349293828525
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.81992693832316, 144.94314585668042)",-37.81992693832316,144.94314585668042
Drinking Fountain - Leaf Type - Dog Bowl  - Errol Street Reserve,"(-37.79924850919621, 144.9504177251165)",-37.79924850919621,144.9504177251165
Drinking fountain - Historic or Heritage Drinking Fountains - Birrarung Marr,"(-37.81890778973109, 144.97301938244627)",-37.81890778973109,144.97301938244627
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.81331469375451, 144.9666513135716)",-37.81331469375451,144.9666513135716
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.811441273333834, 144.95511626726946)",-37.811441273333834,144.95511626726946
Drinking Fountain - Stainless Steel Drinking Fountain - Old Docklands Type,"(-37.82016422388396, 144.9419807414183)",-37.82016422388396,144.9419807414183
Drinking fountain - unspecified type - Alexandra Park,"(-37.827924925554626, 144.98354503295144)",-37.827924925554626,144.98354503295144
Drinking Fountain - Leaf Type - Dog Bowl  - New Quay Central Park,"(-37.81472791168905, 144.93868934270515)",-37.81472791168905,144.93868934270515
Drinking fountain - Historic or Heritage Drinking Fountains - Queen Victoria Gardens,"(-37.82123671455052, 144.97077057669242)",-37.82123671455052,144.97077057669242
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - North Melbourne Recreation Reserve,"(-37.79922710932603, 144.94028139112405)",-37.79922710932603,144.94028139112405
Drinking Fountain - Leaf Type - Dog Bowl  - Newmarket Reserve,"(-37.78784948378831, 144.92456233354102)",-37.78784948378831,144.92456233354102
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.80056485451508, 144.9668454274885)",-37.80056485451508,144.9668454274885
Drinking fountain - Historic or Heritage Drinking Fountains - Princes Park,"(-37.77990316842913, 144.96103894553204)",-37.77990316842913,144.96103894553204
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.81033905955521, 144.9724239787079)",-37.81033905955521,144.9724239787079
Drinking Fountain - Old Style Steel Drinking Fountain,"(-37.80831892386757, 144.97445245211898)",-37.80831892386757,144.97445245211898
Drinking Fountain - Treated Timber Drinking Fountain - Shrine Gardens,"(-37.83210001827241, 144.975544260503)",-37.83210001827241,144.975544260503
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Gardiner Reserve,"(-37.79889823757444, 144.94401837483926)",-37.79889823757444,144.94401837483926
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.811468256332006, 144.96175067722208)",-37.811468256332006,144.96175067722208
Drinking Fountain - Stainless Steel Drinking Fountain - Northbank Type,"(-37.82340947086067, 144.94065316721642)",-37.82340947086067,144.94065316721642
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Station Street Park,"(-37.79735923804568, 144.97398629700336)",-37.79735923804568,144.97398629700336
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.818393312901414, 144.94467796351668)",-37.818393312901414,144.94467796351668
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.805018324001324, 144.94911036775298)",-37.805018324001324,144.94911036775298
Drinking Fountain - Leaf Type - Dog Bowl - Stockmans Way,"(-37.794034684551164, 144.91961812395766)",-37.794034684551164,144.91961812395766
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Princes Park,"(-37.787145044550506, 144.95944649397603)",-37.787145044550506,144.95944649397603
